Local Authority,LSOA Name,ONS Name,LSOA Code,Child Index 2011,Income domain_Child Index 2011,Education domain_Child Index 2011,Health domain_Child Index 2011,Community Safety domain_Child Index 2011,Enviroment domain_Child Index 2011,Access to Services domain_Child Index 2011,Housing domain_Child Index 2011
Caerphilly,Blackwood 2,009A,W01001348,26.9,38.0,40.0,15.5,30.1,9.2,1.4,23.5
Caerphilly,Blackwood 3,009B,W01001349,9.8,3.7,5.9,33.5,5.4,5.8,6.7,4.6
Caerphilly,Blackwood 4,009C,W01001350,24.9,28.4,14.9,51.7,41.4,4.3,4.0,3.5
Caerphilly,Blackwood 5,005D,W01001351,6.5,2.2,5.4,8.4,8.5,8.9,17.0,4.2
Caerphilly,Cefn Fforest 1,007A,W01001352,30.9,38.6,29.4,54.2,20.4,13.0,0.9,14.2
Caerphilly,Cefn Fforest 2,007B,W01001353,34.1,43.0,19.2,73.7,18.2,17.3,3.5,7.3
Caerphilly,Crosskeys 1,014D,W01001354,15.2,17.8,12.8,14.1,13.9,16.1,16.1,9.1
Caerphilly,Crosskeys 2,015A,W01001355,20.4,15.4,14.1,38.9,15.2,40.3,16.8,8.1
Caerphilly,Crumlin 1,006A,W01001356,7.3,4.7,5.4,15.1,11.2,1.9,10.3,1.2
Caerphilly,Crumlin 2,006B,W01001357,11.9,7.3,5.6,16.8,3.7,12.2,34.0,6.7
Caerphilly,Crumlin 3,006C,W01001358,36.6,46.4,35.6,44.7,23.5,5.5,26.1,25.6
Caerphilly,Crumlin 4,006D,W01001359,13.7,12.0,12.4,15.3,15.7,11.5,17.3,15.5
Caerphilly,Darren Valley 1,002A,W01001360,20.8,30.8,22.2,3.5,17.3,0.9,33.1,5.8
Caerphilly,Darren Valley 2,002B,W01001361,43.0,46.1,43.7,71.8,22.1,6.2,38.3,9.9
Caerphilly,Gilfach,003C,W01001362,22.5,20.3,23.7,35.8,34.4,11.9,10.4,18.0
Caerphilly,Hengoed (Caerphilly) 1,012A,W01001363,26.8,31.2,40.9,22.0,17.0,35.5,11.8,6.7
Caerphilly,Hengoed (Caerphilly) 2,012B,W01001364,47.1,60.6,63.8,51.5,45.7,8.8,12.6,18.9
Caerphilly,Hengoed (Caerphilly) 3,012C,W01001365,22.4,25.0,32.0,29.0,26.5,1.6,8.4,6.4
Caerphilly,Llanbradach 1,019A,W01001366,22.4,20.2,20.4,27.0,6.3,41.7,24.1,22.0
Caerphilly,Llanbradach 2,019B,W01001367,19.3,19.4,17.0,11.8,24.8,33.0,19.2,26.0
Caerphilly,Llanbradach 3,019C,W01001368,25.9,33.8,27.1,13.9,25.5,26.5,27.0,8.8
Caerphilly,Maesycwmmer,012D,W01001369,14.3,16.1,14.7,17.9,5.1,14.4,12.4,6.1
Caerphilly,Morgan Jones 1,023A,W01001370,16.5,14.8,22.4,20.7,27.1,24.0,5.0,2.8
Caerphilly,Morgan Jones 2,022A,W01001371,38.5,41.1,51.5,46.0,22.3,37.7,16.6,27.3
Caerphilly,Morgan Jones 3,022B,W01001372,21.1,19.2,19.7,31.9,10.4,52.3,9.8,8.2
Caerphilly,Morgan Jones 4,022C,W01001373,18.7,16.1,18.5,22.3,24.7,54.7,5.3,8.9
Caerphilly,Moriah 1,001A,W01001374,32.5,35.6,27.5,54.1,21.9,8.3,23.4,21.4
Caerphilly,Moriah 2,001B,W01001375,23.7,26.5,23.8,15.4,44.4,39.8,13.1,15.9
Caerphilly,Moriah 3,001C,W01001376,50.7,71.2,58.2,36.7,34.8,45.1,19.4,34.9
Caerphilly,Nelson 1,013A,W01001377,16.5,11.8,14.6,22.8,21.9,11.0,22.4,20.2
Caerphilly,Nelson 2,013B,W01001378,27.2,24.7,47.9,29.1,37.0,7.9,16.1,9.8
Caerphilly,Nelson 3,013C,W01001379,14.8,16.9,16.2,10.4,11.4,1.7,23.6,9.7
Caerphilly,Newbridge 1,010A,W01001380,12.6,9.8,7.2,29.4,15.6,7.1,10.9,3.8
Caerphilly,Newbridge 2,010B,W01001381,43.3,61.8,69.4,30.6,32.7,1.2,10.8,16.4
Caerphilly,Newbridge 3,010C,W01001382,12.4,12.5,6.3,25.6,16.7,2.9,5.2,11.4
Caerphilly,Newbridge 4,010D,W01001383,12.9,17.4,24.5,1.8,16.5,4.4,0.6,15.3
Caerphilly,New Tredegar 1,002C,W01001384,25.9,18.9,29.1,51.9,42.7,3.1,7.4,27.0
Caerphilly,New Tredegar 2,002D,W01001385,26.4,30.7,34.4,24.5,31.4,2.0,22.0,13.0
Caerphilly,New Tredegar 3,002E,W01001386,49.4,60.3,79.8,49.9,57.3,21.0,2.9,13.2
Caerphilly,Pengam 1,007C,W01001387,32.8,41.7,42.3,26.9,36.2,17.8,10.3,27.9
Caerphilly,Pengam 2,007D,W01001388,30.5,48.2,27.1,29.8,28.6,15.2,6.1,4.8
Caerphilly,Pengam 3,007E,W01001389,11.6,15.2,13.3,3.4,14.0,22.6,6.5,5.9
Caerphilly,Penmaen 1,006E,W01001390,7.2,5.3,4.7,3.4,3.9,6.9,21.9,10.2
Caerphilly,Penmaen 2,006F,W01001391,15.3,16.8,20.1,12.6,27.2,4.7,11.7,6.2
Caerphilly,Penmaen 3,009D,W01001392,9.3,3.5,8.4,20.4,11.5,7.4,15.7,2.3
Caerphilly,Penyrheol (Caerphilly) 1,019D,W01001393,29.5,30.8,50.6,20.8,22.9,28.4,20.7,13.3
Caerphilly,Penyrheol (Caerphilly) 2,023B,W01001394,9.7,4.4,9.0,34.3,2.5,1.4,2.5,2.7
Caerphilly,Penyrheol (Caerphilly) 3,023C,W01001395,22.3,28.2,18.3,33.7,21.0,15.3,3.7,13.1
Caerphilly,Penyrheol (Caerphilly) 4,023D,W01001396,45.6,59.3,56.1,50.2,25.6,53.1,6.0,15.6
Caerphilly,Penyrheol (Caerphilly) 5,019E,W01001397,15.4,17.1,25.1,3.9,12.8,7.2,20.4,11.0
Caerphilly,Penyrheol (Caerphilly) 6,024A,W01001398,8.9,6.6,5.8,7.1,7.5,27.7,17.7,2.0
Caerphilly,Penyrheol (Caerphilly) 7,023E,W01001399,9.8,5.1,18.6,5.7,10.8,33.2,4.2,10.1
Caerphilly,Penyrheol (Caerphilly) 8,019F,W01001400,55.4,72.0,81.0,48.4,35.8,11.2,32.9,15.2
Caerphilly,Pontllanfraith 1,011A,W01001401,23.0,24.5,26.5,22.4,24.5,25.3,15.2,18.4
Caerphilly,Pontllanfraith 2,011B,W01001402,31.2,39.5,39.1,30.8,34.3,17.0,4.3,26.1
Caerphilly,Pontllanfraith 3,011C,W01001403,17.1,11.7,20.7,32.7,30.3,24.1,1.9,4.7
Caerphilly,Pontllanfraith 4,011D,W01001404,5.3,1.8,2.7,2.7,6.9,27.4,9.0,8.4
Caerphilly,Pontllanfraith 5,011E,W01001405,25.4,35.8,31.7,13.4,23.0,35.4,9.0,6.0
Caerphilly,Pontlottyn,001D,W01001406,27.8,31.2,31.1,34.7,36.5,36.0,6.0,5.4
Caerphilly,Risca East 1,016A,W01001407,17.1,14.8,13.3,35.1,22.7,6.5,7.2,15.2
Caerphilly,Risca East 2,016B,W01001408,31.7,44.2,28.5,32.0,27.8,15.1,11.3,28.4
Caerphilly,Risca East 3,016C,W01001409,13.7,20.4,10.9,2.6,17.1,20.0,7.2,17.2
Caerphilly,Risca East 4,016D,W01001410,22.8,18.9,22.9,32.8,54.5,18.4,11.4,12.6
Caerphilly,Risca West 1,017A,W01001411,20.4,18.7,16.2,26.4,18.6,39.2,18.5,11.6
Caerphilly,Risca West 2,017B,W01001412,22.9,30.5,13.9,21.7,23.4,63.8,2.2,8.1
Caerphilly,Risca West 3,017C,W01001413,18.4,17.1,16.9,12.9,16.3,61.3,14.2,12.7
Caerphilly,St. Cattwg 1,008A,W01001414,33.8,39.3,45.6,24.2,48.8,14.3,22.9,21.8
Caerphilly,St. Cattwg 2,008B,W01001415,16.7,14.2,21.1,17.1,16.4,45.4,10.0,2.4
Caerphilly,St. Cattwg 3,008C,W01001416,22.6,21.6,22.0,31.9,19.0,14.9,26.0,8.2
Caerphilly,St. Cattwg 4,008D,W01001417,13.5,10.5,14.0,7.5,6.0,40.8,25.3,3.4
Caerphilly,St. Cattwg 5,008E,W01001418,27.7,32.0,37.1,20.4,27.5,19.9,27.2,5.4
Caerphilly,St. James 1,021D,W01001419,18.9,11.2,12.4,9.5,10.4,36.4,63.2,10.4
Caerphilly,St. James 2,022D,W01001420,14.1,12.2,5.5,11.4,11.9,68.5,8.9,14.4
Caerphilly,St. James 3,022E,W01001421,67.4,81.4,81.4,81.4,82.6,59.6,10.5,14.7
Caerphilly,St. James 4,022F,W01001422,60.3,77.9,65.0,66.7,74.6,51.0,12.8,17.2
Caerphilly,St. Martins 1,024B,W01001423,8.2,3.2,4.3,0.7,5.7,59.8,16.1,3.6
Caerphilly,St. Martins 2,024C,W01001424,15.0,18.7,12.0,9.0,34.5,24.9,7.4,4.9
Caerphilly,St. Martins 3,024D,W01001425,9.8,10.1,3.7,3.8,14.4,36.4,13.3,3.8
Caerphilly,St. Martins 4,024E,W01001426,7.9,1.6,3.2,1.6,7.4,44.4,27.7,0.4
Caerphilly,St. Martins 5,024F,W01001427,7.4,0.8,2.1,1.1,1.4,39.0,32.7,1.4
Caerphilly,Twyn Carno 1,001E,W01001428,62.9,90.3,86.9,35.0,77.9,21.0,29.7,9.1
Caerphilly,Twyn Carno 2,001F,W01001429,21.0,13.6,29.5,15.5,29.9,44.7,30.9,3.5
Caerphilly,Ynysddu 1,015B,W01001430,32.6,32.5,28.3,43.4,27.7,37.8,36.0,7.8
Caerphilly,Ynysddu 2,015C,W01001431,17.9,12.6,21.0,15.6,17.5,9.3,38.1,16.1
Caerphilly,Ystrad Mynach 1,013D,W01001432,18.3,15.3,37.6,19.6,14.1,15.2,5.7,10.8
Caerphilly,Ystrad Mynach 2,013E,W01001433,14.1,15.8,12.4,16.3,21.9,17.2,0.0,19.9
Caerphilly,Ystrad Mynach 3,013F,W01001434,9.7,0.7,5.6,20.3,5.4,45.7,15.4,0.8
Blaenau Gwent,Abertillery 1,008A,W01001435,25.5,34.2,26.0,17.7,39.8,36.8,4.1,12.5
Blaenau Gwent,Abertillery 2,008B,W01001436,32.4,35.8,20.5,67.3,51.0,13.3,0.3,12.6
Blaenau Gwent,Abertillery 3,008C,W01001437,14.1,19.6,22.9,3.4,23.8,5.2,1.8,11.0
Blaenau Gwent,Badminton 1,004A,W01001438,11.7,18.5,10.2,7.2,9.2,20.2,0.4,4.7
Blaenau Gwent,Badminton 2,004B,W01001439,8.7,7.5,17.5,2.2,21.6,16.1,1.7,3.0
Blaenau Gwent,Beaufort 1,001A,W01001440,21.6,31.1,24.8,19.1,22.1,6.4,10.1,2.9
Blaenau Gwent,Beaufort 2,001B,W01001441,34.1,50.9,37.8,14.2,47.8,23.6,18.8,9.0
Blaenau Gwent,Beaufort 3,001C,W01001442,12.8,9.6,6.8,22.3,22.2,31.8,5.7,6.5
Blaenau Gwent,Blaina 1,005A,W01001443,31.1,30.6,41.8,29.3,55.9,33.2,17.7,9.2
Blaenau Gwent,Blaina 2,005B,W01001444,26.4,35.1,37.0,10.7,18.5,15.7,19.6,21.9
Blaenau Gwent,Blaina 3,005C,W01001445,33.3,37.5,36.9,39.5,35.2,20.7,21.4,16.6
Blaenau Gwent,Brynmawr 1,002A,W01001446,11.3,11.4,13.4,0.8,19.8,42.6,8.3,1.4
Blaenau Gwent,Brynmawr 2,002B,W01001447,38.8,48.9,65.2,21.8,54.2,14.7,13.6,12.2
Blaenau Gwent,Brynmawr 3,002C,W01001448,13.7,7.6,18.8,16.4,41.7,27.0,1.5,10.4
Blaenau Gwent,Brynmawr 4,002D,W01001449,17.4,12.6,30.6,15.8,37.5,26.9,6.2,5.1
Blaenau Gwent,Cwm 1,007A,W01001450,21.9,17.8,36.4,15.8,15.5,38.8,22.1,11.4
Blaenau Gwent,Cwm 2,007B,W01001451,39.8,36.8,52.7,42.1,55.5,49.2,28.9,11.7
Blaenau Gwent,Cwm 3,007C,W01001452,15.8,16.9,7.0,20.5,8.4,25.5,24.2,2.6
Blaenau Gwent,Cwmtillery 1,008D,W01001453,45.4,55.0,49.9,62.3,58.8,11.3,13.1,15.1
Blaenau Gwent,Cwmtillery 2,008E,W01001454,29.5,26.8,34.9,42.7,25.1,14.5,26.1,18.5
Blaenau Gwent,Cwmtillery 3,008F,W01001455,29.7,29.9,22.7,50.1,33.0,9.8,4.8,57.3
Blaenau Gwent,Ebbw Vale North 1,004C,W01001456,26.6,42.3,27.8,17.9,32.2,8.5,2.2,17.4
Blaenau Gwent,Ebbw Vale North 2,004D,W01001457,62.3,95.8,86.4,45.1,57.6,4.7,12.2,11.7
Blaenau Gwent,Ebbw Vale North 3,004E,W01001458,14.9,13.5,21.4,24.9,23.2,9.8,1.0,1.6
Blaenau Gwent,Ebbw Vale South 1,007D,W01001459,47.1,57.3,48.3,69.2,66.0,3.7,16.3,8.6
Blaenau Gwent,Ebbw Vale South 2,007E,W01001460,16.0,9.9,22.8,12.8,40.9,10.4,21.5,11.2
Blaenau Gwent,Ebbw Vale South 3,007F,W01001461,29.7,38.4,43.9,22.9,52.4,8.7,6.4,4.1
Blaenau Gwent,Georgetown 1,006A,W01001462,18.7,15.3,19.7,36.6,25.1,9.9,11.2,3.8
Blaenau Gwent,Georgetown 2,006B,W01001463,15.2,16.5,15.6,23.9,23.9,7.7,4.2,3.9
Blaenau Gwent,Llanhilleth 1,009A,W01001464,30.5,37.6,30.6,40.5,28.6,4.4,18.5,13.4
Blaenau Gwent,Llanhilleth 2,009B,W01001465,36.2,37.4,35.0,65.8,26.1,11.1,25.4,7.1
Blaenau Gwent,Llanhilleth 3,009C,W01001466,30.6,39.9,46.4,18.3,22.0,19.7,13.0,21.1
Blaenau Gwent,Nantyglo 1,005D,W01001467,39.3,36.4,60.1,64.2,36.9,21.9,2.5,20.8
Blaenau Gwent,Nantyglo 2,005E,W01001468,24.8,22.2,45.9,15.6,35.6,22.4,16.7,14.6
Blaenau Gwent,Nantyglo 3,005F,W01001469,41.1,52.7,74.0,22.4,40.5,6.9,16.6,17.4
Blaenau Gwent,Rassau 1,001D,W01001470,19.8,24.8,14.6,2.5,6.9,69.7,25.5,5.4
Blaenau Gwent,Rassau 2,001E,W01001471,39.2,51.9,38.1,24.6,39.6,83.5,11.2,20.2
Blaenau Gwent,Sirhowy 1,003A,W01001472,9.8,5.6,6.5,5.9,12.3,17.6,30.9,1.5
Blaenau Gwent,Sirhowy 2,003B,W01001473,59.0,83.5,84.5,45.6,59.1,19.6,17.0,6.5
Blaenau Gwent,Sirhowy 3,003C,W01001474,38.1,43.3,34.2,47.3,19.6,26.0,47.6,5.8
Blaenau Gwent,Sirhowy 4,003D,W01001475,20.4,9.8,33.5,25.5,36.3,34.6,19.3,2.7
Blaenau Gwent,Six Bells 1,009D,W01001476,32.0,35.9,43.4,36.1,24.1,35.1,8.4,17.7
Blaenau Gwent,Six Bells 2,009E,W01001477,14.7,21.8,12.3,9.8,15.1,20.2,5.3,7.8
Blaenau Gwent,Tredegar Central and West 1,006C,W01001478,20.9,21.0,25.3,20.8,49.9,19.1,6.3,10.6
Blaenau Gwent,Tredegar Central and West 2,006D,W01001479,64.0,73.4,80.2,92.9,78.7,17.7,11.8,19.1
Blaenau Gwent,Tredegar Central and West 3,003E,W01001480,39.4,45.9,31.9,68.2,25.5,13.4,19.6,20.8
Blaenau Gwent,Tredegar Central and West 4,006E,W01001481,22.1,22.7,32.3,8.4,78.3,20.4,7.5,3.8
Torfaen,Abersychan 1,002A,W01001482,33.8,34.8,44.8,39.4,34.3,3.7,31.2,16.7
Torfaen,Abersychan 2,002B,W01001483,30.1,41.2,31.5,15.6,37.9,14.0,28.9,13.7
Torfaen,Abersychan 3,002C,W01001484,14.7,15.7,9.6,18.1,32.0,8.0,12.8,6.6
Torfaen,Abersychan 4,002D,W01001485,24.2,31.9,24.4,22.8,23.8,4.6,22.2,7.0
Torfaen,Abersychan 5,002E,W01001486,19.8,23.2,20.2,19.7,41.0,17.2,3.4,14.3
Torfaen,Blaenavon 1,001A,W01001487,21.4,24.4,15.1,33.2,32.5,16.9,6.8,10.9
Torfaen,Blaenavon 2,001B,W01001488,46.9,48.7,53.7,96.6,40.1,3.8,4.7,12.5
Torfaen,Blaenavon 3,001C,W01001489,23.2,32.2,21.1,19.9,26.2,7.6,15.3,14.1
Torfaen,Blaenavon 4,001D,W01001490,13.2,19.5,17.2,5.0,32.5,1.0,1.4,5.2
Torfaen,Brynwern,004A,W01001491,25.9,29.7,39.8,16.8,42.1,1.9,3.8,41.5
Torfaen,Coed Eva,012A,W01001492,13.8,16.4,14.3,11.0,17.8,5.0,16.6,5.0
Torfaen,Croesyceiliog North 1,008A,W01001493,16.7,11.9,21.4,11.5,16.0,44.1,20.8,10.5
Torfaen,Croesyceiliog North 2,008B,W01001494,11.6,9.4,11.3,18.7,7.1,7.6,16.4,5.1
Torfaen,Croesyceiliog South,008C,W01001495,7.2,6.0,8.7,3.5,10.6,6.6,15.0,1.9
Torfaen,Cwmyniscoy,004B,W01001496,46.8,84.0,32.4,42.4,37.6,10.1,5.5,12.4
Torfaen,Fairwater (Torfaen) 1,011A,W01001497,27.9,34.6,38.7,29.6,42.9,8.2,3.5,8.0
Torfaen,Fairwater (Torfaen) 2,011B,W01001498,33.6,49.4,33.8,37.2,35.5,17.6,4.9,3.7
Torfaen,Fairwater (Torfaen) 3,011C,W01001499,16.6,17.9,22.9,18.5,15.4,15.3,4.3,13.7
Torfaen,Fairwater (Torfaen) 4,011D,W01001500,4.3,1.7,4.6,6.7,3.5,5.4,9.8,0.3
Torfaen,Greenmeadow 1,009A,W01001501,37.2,37.2,52.3,51.1,51.4,9.5,13.8,17.0
Torfaen,Greenmeadow 2,011E,W01001502,9.9,6.9,6.1,24.6,10.9,5.7,5.2,8.8
Torfaen,Greenmeadow 3,009B,W01001503,37.0,41.3,37.7,66.0,40.0,8.4,6.4,15.7
Torfaen,Llantarnam 1,013A,W01001504,19.4,20.5,17.2,31.4,18.4,26.3,4.4,9.2
Torfaen,Llantarnam 2,013B,W01001505,8.1,3.4,12.9,5.3,3.6,27.1,7.8,16.3
Torfaen,Llantarnam 3,010A,W01001506,24.5,17.3,21.1,53.2,29.5,35.9,5.6,16.4
Torfaen,Llanyrafon North,008D,W01001507,9.3,8.3,9.7,7.5,6.5,21.0,8.4,11.5
Torfaen,Llanyrafon South 1,013C,W01001508,10.6,6.0,2.2,28.0,4.3,13.2,17.9,1.4
Torfaen,Llanyrafon South 2,013D,W01001509,9.7,0.3,0.4,12.2,0.6,45.2,37.9,1.0
Torfaen,New Inn 1,005A,W01001510,15.5,18.9,15.6,1.2,17.9,22.9,25.0,7.0
Torfaen,New Inn 2,005B,W01001511,17.5,17.9,19.9,13.8,9.9,20.5,21.0,16.2
Torfaen,New Inn 3,005C,W01001512,7.9,0.8,0.5,8.9,0.5,35.0,31.3,0.8
Torfaen,New Inn 4,005D,W01001513,7.7,0.7,4.3,6.0,4.8,41.0,23.4,1.7
Torfaen,Panteg 1,006A,W01001514,10.5,5.2,4.5,20.2,10.4,28.3,16.1,1.6
Torfaen,Panteg 2,006B,W01001515,13.9,11.0,11.0,10.0,14.1,30.6,21.3,17.1
Torfaen,Panteg 3,006C,W01001516,23.3,19.2,24.7,44.1,23.4,12.3,15.1,11.5
Torfaen,Panteg 4,006D,W01001517,11.4,2.8,5.6,16.1,10.0,34.9,22.3,21.3
Torfaen,Panteg 5,006E,W01001518,8.3,8.9,7.2,2.8,12.7,4.6,17.7,4.4
Torfaen,Pontnewydd 1,007A,W01001519,38.9,49.1,34.0,43.1,40.8,43.3,17.1,19.4
Torfaen,Pontnewydd 2,007B,W01001520,18.2,14.3,12.2,10.3,22.0,59.0,35.5,0.9
Torfaen,Pontnewydd 3,007C,W01001521,23.3,25.5,20.8,24.5,28.9,32.3,21.2,4.8
Torfaen,Pontnewydd 4,007D,W01001522,25.3,17.4,24.1,47.6,30.1,20.1,28.1,6.0
Torfaen,Pontnewynydd,004C,W01001523,28.2,27.7,24.6,36.9,20.2,18.9,38.4,14.5
Torfaen,Pontypool,004D,W01001524,15.6,21.6,16.6,2.2,37.3,19.0,2.7,16.9
Torfaen,St. Cadocs and Penygarn,003A,W01001525,30.3,38.8,43.1,23.1,38.3,1.1,9.9,27.4
Torfaen,St. Dials 1,010B,W01001526,36.3,45.3,39.4,38.8,61.4,11.9,9.5,21.8
Torfaen,St. Dials 2,010C,W01001527,33.2,26.7,36.5,76.2,34.6,22.7,6.4,3.0
Torfaen,St. Dials 3,010D,W01001528,31.0,40.6,20.4,47.5,20.1,13.1,14.6,20.9
Torfaen,Snatchwood,003B,W01001529,22.9,19.6,26.3,24.1,39.2,35.3,18.7,10.0
Torfaen,Trevethin 1,003C,W01001530,53.7,68.9,65.8,52.6,65.6,1.4,31.5,18.8
Torfaen,Trevethin 2,003D,W01001531,27.0,28.9,26.4,19.3,51.6,14.9,29.4,22.3
Torfaen,Two Locks 1,010E,W01001532,31.1,34.4,33.6,40.1,31.7,19.4,11.1,30.8
Torfaen,Two Locks 2,012B,W01001533,7.8,1.2,2.4,12.7,3.5,3.2,36.3,0.3
Torfaen,Two Locks 3,012C,W01001534,17.3,13.4,20.7,23.9,15.3,16.3,23.9,2.0
Torfaen,Two Locks 4,012D,W01001535,15.5,19.7,18.2,0.4,8.1,3.2,33.7,8.8
Torfaen,Upper Cwmbran 1,009C,W01001536,56.0,66.2,64.6,79.8,71.0,11.2,16.9,14.1
Torfaen,Upper Cwmbran 2,007E,W01001537,11.3,4.1,14.8,11.8,13.9,9.6,30.6,3.3
Torfaen,Upper Cwmbran 3,009D,W01001538,39.4,49.8,33.4,48.8,31.9,7.7,19.6,49.3
Torfaen,Upper Cwmbran 4,009E,W01001539,29.7,32.7,44.6,32.8,26.5,3.3,22.6,6.5
Torfaen,Wainfelin 1,004E,W01001540,10.0,8.3,10.6,4.2,27.6,10.0,12.7,11.9
Torfaen,Wainfelin 2,004F,W01001541,27.9,24.9,21.5,41.2,13.3,14.6,46.1,18.1
Monmouthshire,Caerwent,009A,W01001542,9.2,2.1,3.0,1.3,3.2,13.1,48.4,13.2
Monmouthshire,Caldicot Castle 1,009B,W01001543,4.9,2.9,6.2,0.6,1.6,18.7,11.3,2.3
Monmouthshire,Caldicot Castle 2,010A,W01001544,17.4,12.6,20.8,27.5,26.9,26.7,3.6,17.1
Monmouthshire,Cantref 1,001A,W01001545,5.8,0.5,1.1,0.7,2.3,39.4,22.6,0.1
Monmouthshire,Cantref 2,002A,W01001546,28.1,38.1,33.1,27.0,29.8,29.8,0.8,11.3
Monmouthshire,Croesonen,002B,W01001547,26.9,21.9,20.3,49.4,25.0,51.4,11.9,18.2
Monmouthshire,Crucorney,001B,W01001548,16.0,6.8,3.0,10.6,4.5,11.0,81.4,5.9
Monmouthshire,Devauden,007A,W01001549,9.7,5.2,2.4,3.9,0.1,2.1,53.4,3.3
Monmouthshire,Dewstow & Green Lane 1,010B,W01001550,24.2,24.6,30.3,41.6,16.2,13.0,8.2,6.3
Monmouthshire,Dewstow & Green Lane 2,010C,W01001551,19.6,21.8,30.4,22.2,18.0,18.8,2.3,6.5
Monmouthshire,Dixton with Osbaston,004A,W01001552,4.2,1.2,1.4,0.6,0.2,4.3,25.9,0.7
Monmouthshire,Drybridge 1,004B,W01001553,13.2,8.5,8.3,2.5,12.3,31.7,44.5,4.1
Monmouthshire,Drybridge 2,004C,W01001554,4.4,0.4,1.6,0.1,22.6,37.6,1.3,2.1
Monmouthshire,Goetre Fawr 1,006A,W01001555,8.3,0.4,1.3,5.6,2.7,8.8,48.6,5.4
Monmouthshire,Goetre Fawr 2,006B,W01001556,17.9,18.1,8.1,26.3,9.4,3.3,38.8,1.8
Monmouthshire,Grofield,001C,W01001557,14.2,13.9,6.2,11.0,21.3,20.1,10.6,42.3
Monmouthshire,Lansdown,002C,W01001558,17.1,16.6,17.3,18.4,29.4,26.7,1.2,24.9
Monmouthshire,Larkfield,008A,W01001559,16.1,9.6,21.9,23.4,22.8,23.3,12.0,11.2
Monmouthshire,Llanbadoc,006C,W01001560,12.9,3.4,1.4,7.3,5.7,35.6,59.0,7.7
Monmouthshire,Llanelly Hill 1,003A,W01001561,7.5,0.1,5.4,5.3,3.7,15.2,33.9,5.5
Monmouthshire,Llanelly Hill 2,003B,W01001562,19.8,8.9,14.6,18.9,39.0,20.9,45.5,28.1
Monmouthshire,Llanelly Hill 3,003C,W01001563,11.2,11.0,10.7,7.2,7.1,1.8,25.7,8.9
Monmouthshire,Castle & Llanfoist Fawr,003D,W01001564,18.9,21.1,11.2,5.2,21.7,30.3,43.5,2.9
Monmouthshire,Llangybi Fawr,006D,W01001565,11.9,2.3,1.0,6.5,1.5,12.8,72.0,1.9
Monmouthshire,Llanover 1,005A,W01001566,19.3,3.3,3.2,29.5,0.9,14.5,90.3,9.4
Monmouthshire,Llanover 2,005B,W01001567,14.2,5.3,6.1,3.5,10.5,24.5,64.6,10.4
Monmouthshire,Llantilio Crossenny,005C,W01001568,16.5,3.5,4.6,4.9,0.4,16.4,99.1,8.9
Monmouthshire,Llanwenarth Ultra,003E,W01001569,17.0,10.2,7.8,31.8,12.1,11.0,42.0,0.9
Monmouthshire,Mardy 1,002D,W01001570,37.9,27.4,59.1,67.1,28.3,24.0,9.7,36.6
Monmouthshire,Mardy 2,001D,W01001571,10.9,3.3,4.1,3.2,7.9,21.1,53.1,3.2
Monmouthshire,Mill 1,011A,W01001572,12.5,4.2,8.5,0.6,10.4,60.9,40.7,1.5
Monmouthshire,Mill 2,011B,W01001573,10.6,2.0,4.0,7.9,2.9,40.4,42.6,0.8
Monmouthshire,Mill 3,011C,W01001574,12.3,2.7,5.9,6.1,3.8,61.4,42.2,1.9
Monmouthshire,Mitchel Troy,005D,W01001575,19.2,9.3,2.0,30.1,11.0,10.6,67.8,13.9
Monmouthshire,Overmonnow 1,004D,W01001576,14.6,13.4,11.6,4.8,15.9,59.9,12.6,15.1
Monmouthshire,Overmonnow 2,004E,W01001577,29.1,35.4,34.8,23.3,27.6,48.4,11.9,9.6
Monmouthshire,Portskewett,009C,W01001578,8.9,4.5,6.8,4.8,5.7,18.1,30.2,3.1
Monmouthshire,Priory 1,001E,W01001579,9.4,4.0,1.8,3.0,31.1,30.1,25.4,6.2
Monmouthshire,Priory 2,002E,W01001580,14.8,11.9,9.5,21.1,16.0,40.7,9.6,11.8
Monmouthshire,Raglan,005E,W01001581,10.9,2.9,5.2,4.8,2.1,19.6,54.5,4.0
Monmouthshire,Rogiet,011D,W01001582,10.3,7.2,7.9,3.2,10.7,19.1,30.8,3.9
Monmouthshire,St. Arvans,007B,W01001583,13.5,1.8,4.7,14.8,4.2,24.4,57.6,12.8
Monmouthshire,St. Christopher's,008B,W01001584,18.2,22.1,18.7,10.4,15.8,15.1,24.4,9.4
Monmouthshire,St. Kingsmark 1,007C,W01001585,1.5,1.5,0.3,0.3,0.7,11.6,1.1,0.1
Monmouthshire,St. Kingsmark 2,007D,W01001586,3.5,0.3,1.4,1.9,3.7,12.6,14.6,1.0
Monmouthshire,St. Mary's,008C,W01001587,13.1,9.0,9.5,10.7,31.3,53.0,7.7,6.6
Monmouthshire,Severn 1,010D,W01001588,9.4,2.8,16.5,10.9,8.6,47.5,0.8,3.9
Monmouthshire,Severn 2,010E,W01001589,20.6,25.8,25.8,12.7,17.0,55.1,2.7,4.2
Monmouthshire,Shirenewton,009D,W01001590,11.9,1.6,0.8,28.9,1.3,6.8,46.5,2.4
Monmouthshire,The Elms,011E,W01001591,8.1,1.2,2.1,0.5,1.6,32.4,40.9,2.1
