"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000518 ","Wales ","Ceredigion 003C ",7,16.3,12.5,80,98,541,5,6,9.3
"W01000519 ","Wales ","Ceredigion 010A ",9,24.9,15.4,79,102,482,3.4,6.4,8.4
"W01000520 ","Wales ","Ceredigion 001A ",8,9.1,7.4,88,109,514,3.7,4.5,8.2
"W01000521 ","Wales ","Ceredigion 001B ",15,17.4,16.1,77,107,550,5.7,5.8,8.4
"W01000522 ","Wales ","Ceredigion 010B ",12,19.5,15.7,82,99,440,4.4,5.2,7.5
"W01000523 ","Wales ","Ceredigion 001C ",7,10.9,8.8,83,105,519,1.7,6.1,8.4
"W01000524 ","Wales ","Ceredigion 005B ",9,16.7,10.9,83,99,400,3.9,5.1,8
"W01000525 ","Wales ","Ceredigion 011A ",5,5.5,4.7,88,112,587,3,4.3,7.2
"W01000526 ","Wales ","Ceredigion 002E ",5,26.1,8.5,81,112,510,11.8,6.3,8.3
"W01000527 ","Wales ","Ceredigion 008A ",5,13.9,7.3,90,108,494,2.3,5.7,6.3
"W01000528 ","Wales ","Ceredigion 008B ",13,24.2,19,80,103,398,3.2,7,7.9
"W01000529 ","Wales ","Ceredigion 007A ",9,28.1,15.5,81,95,343,2.6,5.5,8.8
"W01000530 ","Wales ","Ceredigion 003D ",4,6.7,5.3,86,112,538,4.6,4.8,6.2
"W01000531 ","Wales ","Ceredigion 010C ",13,17.1,14.5,85,102,396,4.5,6.9,9.3
"W01000532 ","Wales ","Ceredigion 007B ",9,16.4,10.7,82,105,424,1.4,5.1,7.8
"W01000533 ","Wales ","Ceredigion 010D ",15,33.3,21.7,81,99,446,6.3,6.1,10.6
"W01000534 ","Wales ","Ceredigion 011B ",6,11.4,8.3,82,109,561,5.8,5.3,7.8
"W01000535 ","Wales ","Ceredigion 008C ",11,20.2,15.1,86,99,434,5.9,5.3,7.8
"W01000536 ","Wales ","Ceredigion 011E ",11,18,14.8,82,103,439,3.2,6.2,9.1
"W01000537 ","Wales ","Ceredigion 008D ",11,22.8,13.8,82,100,391,"*",6.5,7.8
"W01000538 ","Wales ","Ceredigion 005C ",8,11.7,9.5,90,105,475,2.2,4.1,6.9
"W01000539 ","Wales ","Ceredigion 005D ",7,17.1,11.5,78,102,390,3.7,5.6,9.8
"W01000540 ","Wales ","Ceredigion 005E ",10,13.6,13.1,79,101,419,4.4,4.7,8.9
"W01000541 ","Wales ","Ceredigion 008E ",9,18,10.7,84,98,409,4.4,5.6,6.3
"W01000542 ","Wales ","Ceredigion 011F ",11,12.9,12.8,84,107,490,3.2,5.3,9.1
"W01000543 ","Wales ","Ceredigion 011C ",8,13.5,9.8,86,100,464,2.1,5.2,8.9
"W01000544 ","Wales ","Ceredigion 007C ",11,23.5,15.9,84,101,400,3.1,6.5,10.6
"W01000545 ","Wales ","Ceredigion 007D ",10,16.8,12.2,85,102,469,2.4,5.9,8.3
"W01000546 ","Wales ","Ceredigion 009F ",16,25.3,15.6,81,104,484,8.2,4.6,7.1
"W01000547 ","Wales ","Ceredigion 009G ",10,14.5,12.5,81,108,435,4.3,4.7,6.6
"W01000548 ","Wales ","Ceredigion 001D ",9,16.1,10.8,83,106,465,4,4.3,7.4
"W01000549 ","Wales ","Ceredigion 001E ",6,1.2,5,83,103,508,4.5,4.9,7.1
"W01000550 ","Wales ","Ceredigion 011G ",13,25.6,16.4,82,104,434,4.2,7.4,9.3
"W01000551 ","Wales ","Ceredigion 010E ",9,16.1,13.9,81,101,439,1.6,5.1,8.7
"W01000552 ","Wales ","Ceredigion 011D ",6,6.8,7.4,86,109,578,5.2,5.1,7.7
"W01000553 ","Wales ","Pembrokeshire 011A ",11,12.9,9.6,90,108,491,4.5,6.1,9.2
"W01000554 ","Wales ","Pembrokeshire 009A ",9,10.3,8.9,87,105,425,5,5.8,6.3
"W01000555 ","Wales ","Pembrokeshire 008A ",8,7.8,8,85,107,454,2.5,5.7,6.3
"W01000556 ","Wales ","Pembrokeshire 008B ",10,14.7,9.6,85,104,419,5.7,5.5,7
"W01000557 ","Wales ","Pembrokeshire 014A ",8,11,10.2,90,107,566,6.2,6.7,9
"W01000558 ","Wales ","Pembrokeshire 001A ",10,18.7,13.8,83,106,499,5,5.6,9.4
"W01000559 ","Wales ","Pembrokeshire 001B ",11,12.9,11.5,76,105,502,1.7,7.2,8.8
"W01000560 ","Wales ","Pembrokeshire 001C ",7,16.3,12.3,82,110,541,"*",6.3,7.9
"W01000561 ","Wales ","Pembrokeshire 001D ",9,17.8,14.8,79,102,552,4.5,4.9,7.3
"W01000562 ","Wales ","Pembrokeshire 002A ",8,15.7,12,82,103,435,4.1,5.8,7.6
"W01000563 ","Wales ","Pembrokeshire 011B ",11,16.4,12.4,86,106,519,"*",5.9,8.3
"W01000564 ","Wales ","Pembrokeshire 011C ",11,11,12.3,85,109,534,9.1,7.4,10.1
"W01000565 ","Wales ","Pembrokeshire 002B ",13,29.4,19.5,81,98,368,3.4,8.6,9
"W01000566 ","Wales ","Pembrokeshire 002C ",15,24.8,17.2,80,94,379,3,6.8,9.5
"W01000567 ","Wales ","Pembrokeshire 002D ",16,29.8,20.7,83,98,360,2.9,7,8.6
"W01000568 ","Wales ","Pembrokeshire 005A ",22,23.6,23.7,82,103,358,7.8,6.6,9.3
"W01000569 ","Wales ","Pembrokeshire 005B ",8,10.3,11,85,105,434,4.1,7,7.7
"W01000570 ","Wales ","Pembrokeshire 005C ",24,55.2,41.2,80,93,278,6.8,7.4,12.3
"W01000571 ","Wales ","Pembrokeshire 006A ",13,27.3,17.6,81,101,374,6.7,7,9
"W01000572 ","Wales ","Pembrokeshire 005D ",10,12,10.7,84,103,441,6.3,6.2,7.6
"W01000573 ","Wales ","Pembrokeshire 006B ",9,21.3,13.1,85,106,411,5.9,6.2,8.2
"W01000574 ","Wales ","Pembrokeshire 015A ",10,16,12,84,107,427,2.9,5.9,8.5
"W01000575 ","Wales ","Pembrokeshire 008C ",12,20.1,17.3,80,100,319,5,6.8,10.6
"W01000576 ","Wales ","Pembrokeshire 011D ",12,26.2,16.1,83,104,513,3.2,6.7,10.9
"W01000577 ","Wales ","Pembrokeshire 007A ",7,12.8,11.3,87,109,461,6,5.7,7.6
"W01000578 ","Wales ","Pembrokeshire 014B ",12,11.3,10.2,88,108,441,5.5,6.3,7.5
"W01000579 ","Wales ","Pembrokeshire 003A ",10,15.7,12.8,85,104,413,1.6,5.7,7.6
"W01000580 ","Wales ","Pembrokeshire 009B ",9,11.4,9.7,85,102,408,4.3,6.2,7.6
"W01000581 ","Wales ","Pembrokeshire 003B ",9,16.2,12.2,85,104,437,3.8,5.6,6.5
"W01000582 ","Wales ","Pembrokeshire 004A ",10,19.6,15.5,84,112,565,1.9,6,7.3
"W01000583 ","Wales ","Pembrokeshire 004B ",9,17.8,13.9,85,108,504,0.7,6,6
"W01000584 ","Wales ","Pembrokeshire 014C ",10,17.2,13.1,87,109,510,5.1,6.9,9.8
"W01000585 ","Wales ","Pembrokeshire 007B ",6,12.2,9.9,88,111,469,1,6.2,8.7
"W01000586 ","Wales ","Pembrokeshire 006C ",12,31.4,20.3,80,96,339,7.2,8.8,10.7
"W01000587 ","Wales ","Pembrokeshire 010A ",17,15.1,17.5,82,99,374,8.7,7.6,9.5
"W01000588 ","Wales ","Pembrokeshire 010B ",22,32.5,26.6,80,97,322,8.1,8.9,9.4
"W01000589 ","Wales ","Pembrokeshire 012A ",16,32.9,23.8,81,92,305,5.3,6.7,8.8
"W01000590 ","Wales ","Pembrokeshire 012B ",15,23.6,17.7,78,100,344,3.9,5.9,10.5
"W01000591 ","Wales ","Pembrokeshire 012C ",12,27.7,17.3,81,96,327,9.9,6.6,8.9
"W01000592 ","Wales ","Pembrokeshire 012D ",23,42.7,31.8,81,96,276,9.7,8.8,13.6
"W01000593 ","Wales ","Pembrokeshire 010C ",14,24.8,17.5,82,100,342,3.4,7,8.2
"W01000594 ","Wales ","Pembrokeshire 012E ",23,37.8,30.5,78,94,331,6,7.8,9.5
"W01000595 ","Wales ","Pembrokeshire 007C ",13,21.9,18.4,85,108,440,3.3,7,9.6
"W01000596 ","Wales ","Pembrokeshire 007D ",9,13.6,10,82,103,439,4.4,5.5,9.1
"W01000597 ","Wales ","Pembrokeshire 002E ",12,14.4,12.8,83,103,452,3,6.1,7.7
"W01000598 ","Wales ","Pembrokeshire 009C ",14,17.8,16.4,80,99,378,4,6.8,10.4
"W01000599 ","Wales ","Pembrokeshire 009D ",13,21.7,16.5,78,102,347,4.2,7.1,10.1
"W01000600 ","Wales ","Pembrokeshire 013A ",24,26.8,25.4,85,99,352,5.4,8.8,12.1
"W01000601 ","Wales ","Pembrokeshire 013B ",30,56.6,44.4,81,90,319,8,8.9,11.6
"W01000602 ","Wales ","Pembrokeshire 013C ",16,23,17,83,96,359,4.4,6.5,10.3
"W01000603 ","Wales ","Pembrokeshire 013D ",18,25,21,82,99,323,5.6,6.9,10.6
"W01000604 ","Wales ","Pembrokeshire 013E ",19,35,26,81,93,354,8,7.9,11.4
"W01000605 ","Wales ","Pembrokeshire 013F ",15,26.2,20.1,81,100,375,10.3,6.6,10.2
"W01000606 ","Wales ","Pembrokeshire 015B ",28,48.1,39.2,77,92,323,10.4,8.5,10.8
"W01000607 ","Wales ","Pembrokeshire 015C ",19,38.9,28.3,79,90,336,9.2,9.8,11.2
"W01000608 ","Wales ","Pembrokeshire 015D ",17,33.6,23.2,83,101,355,6.6,7.8,9.9
"W01000609 ","Wales ","Pembrokeshire 014D ",12,17.6,11.8,86,109,402,4.2,7,8
"W01000610 ","Wales ","Pembrokeshire 016A ",10,7.8,7.4,89,118,598,3.5,6.6,10
"W01000611 ","Wales ","Pembrokeshire 004C ",9,7.8,8,85,108,460,8.3,6.1,7.3
"W01000612 ","Wales ","Pembrokeshire 003C ",13,16.5,13.5,84,106,443,7.6,7.1,5.9
"W01000613 ","Wales ","Pembrokeshire 001E ",12,25.6,17.3,83,106,519,4.7,7.5,8.9
"W01000614 ","Wales ","Pembrokeshire 008D ",9,16.2,12.2,79,105,392,6.8,6.1,8.3
"W01000615 ","Wales ","Pembrokeshire 011E ",8,13.7,11.5,86,111,520,2.4,6.3,9.1
"W01000616 ","Wales ","Pembrokeshire 011F ",9,20.2,12.6,84,110,566,5.4,5.5,8.9
"W01000617 ","Wales ","Pembrokeshire 002F ",11,23.4,15,84,97,360,5.4,6.1,8.5
"W01000618 ","Wales ","Pembrokeshire 003D ",9,23.8,14.7,82,104,386,1.6,5.6,7.4
"W01000619 ","Wales ","Pembrokeshire 016B ",10,17.3,15.2,87,113,578,3.7,6,8.8
"W01000620 ","Wales ","Pembrokeshire 016C ",14,23.1,16.8,90,111,545,6.2,5.9,8.9
"W01000621 ","Wales ","Pembrokeshire 016D ",13,23.8,17.9,85,102,461,5.4,6.7,10.5
"W01000622 ","Wales ","Pembrokeshire 008E ",8,8.8,8.2,86,105,373,4.7,5.5,7.5
"W01000623 ","Wales ","Pembrokeshire 004D ",6,13,10.6,86,105,446,4.7,6.1,6.4
"W01000624 ","Wales ","Carmarthenshire 005A ",6,7.4,7.3,83,105,467,4.5,4.1,6.8
"W01000625 ","Wales ","Carmarthenshire 013A ",23,32.2,23.8,74,100,359,5.9,7,9.8
"W01000626 ","Wales ","Carmarthenshire 013B ",21,27.3,22,86,104,414,10.1,6.8,7.3
"W01000627 ","Wales ","Carmarthenshire 013C ",15,25.7,18.4,83,101,373,4.7,6.7,9.9
"W01000628 ","Wales ","Carmarthenshire 024A ",12,9.4,9.9,84,107,452,5.7,7.4,7.2
"W01000629 ","Wales ","Carmarthenshire 024B ",18,27.5,20.9,79,102,378,8,7.9,8.9
"W01000630 ","Wales ","Carmarthenshire 024C ",16,18.7,15.4,84,101,395,3.3,8.3,8.1
"W01000631 ","Wales ","Carmarthenshire 024D ",31,50.7,36,74,92,314,6.4,10,12.7
"W01000632 ","Wales ","Carmarthenshire 021A ",22,40.3,25.9,82,102,330,2.7,7.7,8.6
"W01000633 ","Wales ","Carmarthenshire 021B ",25,29,24.6,77,96,377,4.9,7.6,10.6
"W01000634 ","Wales ","Carmarthenshire 021C ",14,20.7,14.3,86,102,423,6.6,6.3,6.4
"W01000635 ","Wales ","Carmarthenshire 025A ",12,12.1,10.6,84,104,453,8.4,9.1,6.6
"W01000636 ","Wales ","Carmarthenshire 025B ",22,33.6,25.2,82,100,414,8.2,7.9,10.1
"W01000637 ","Wales ","Carmarthenshire 007A ",16,30.1,21.5,80,97,374,5.7,8,10.4
"W01000638 ","Wales ","Carmarthenshire 007B ",21,45.7,29.4,71,91,355,10.9,7.9,16.1
"W01000639 ","Wales ","Carmarthenshire 007C ",13,30.1,18.9,81,108,422,4.8,6.8,11.8
"W01000640 ","Wales ","Carmarthenshire 007D ",6,5.4,4.1,84,107,488,2.6,4.9,6.2
"W01000641 ","Wales ","Carmarthenshire 008A ",22,24.5,20.7,83,100,350,8,7.4,11.2
"W01000642 ","Wales ","Carmarthenshire 008B ",8,8.9,7.4,85,111,444,4.4,4.8,6.1
"W01000643 ","Wales ","Carmarthenshire 006A ",14,29.4,19.8,81,98,340,8.9,6.6,10.7
"W01000644 ","Wales ","Carmarthenshire 006B ",8,15.2,8.5,82,106,393,7.4,6.3,9.1
"W01000645 ","Wales ","Carmarthenshire 006C ",13,18.8,14.6,86,105,401,5.3,6.8,9.4
"W01000646 ","Wales ","Carmarthenshire 003A ",14,21.8,16.2,79,102,394,3.4,6.8,9.2
"W01000647 ","Wales ","Carmarthenshire 002A ",12,21.3,13.2,85,111,472,"*",6.1,7.8
"W01000648 ","Wales ","Carmarthenshire 006D ",8,13.1,10.4,81,108,442,2.7,5.5,8
"W01000649 ","Wales ","Carmarthenshire 006E ",8,5.6,6.3,86,108,501,2.8,4.4,5.9
"W01000650 ","Wales ","Carmarthenshire 002B ",11,21.3,14,85,103,471,4.8,6.7,8
"W01000651 ","Wales ","Carmarthenshire 020A ",13,12.1,12.3,86,108,454,3.3,6.7,8.1
"W01000652 ","Wales ","Carmarthenshire 020B ",21,39.9,26.5,79,97,411,5.9,8.6,9.8
"W01000653 ","Wales ","Carmarthenshire 023A ",14,20.8,15.3,83,109,483,6.4,6.2,8.6
"W01000654 ","Wales ","Carmarthenshire 023B ",20,22.7,20,78,105,392,6.2,7.8,7.8
"W01000655 ","Wales ","Carmarthenshire 020C ",22,39.3,28,78,98,390,5.5,8.4,11.4
"W01000656 ","Wales ","Carmarthenshire 010A ",20,33,21.6,80,101,365,4.8,8,10
"W01000657 ","Wales ","Carmarthenshire 010B ",18,30.1,20.3,80,95,414,4.5,8,10.4
"W01000658 ","Wales ","Carmarthenshire 010C ",21,28.8,19.7,81,101,381,6.7,7.9,8.6
"W01000659 ","Wales ","Carmarthenshire 026A ",26,37,29.7,75,88,284,5.1,10.8,11.3
"W01000660 ","Wales ","Carmarthenshire 026B ",30,44.8,32.2,79,101,346,5.2,8,11.5
"W01000661 ","Wales ","Carmarthenshire 026C ",27,40.2,32.7,75,92,341,5,8.5,11.8
"W01000662 ","Wales ","Carmarthenshire 016A ",14,18.7,14.4,84,102,404,5.7,6.9,8.8
"W01000663 ","Wales ","Carmarthenshire 016B ",12,13.9,13.3,80,100,425,5.7,6.2,7.1
"W01000664 ","Wales ","Carmarthenshire 016C ",17,12.1,13,85,103,426,2.7,5.9,9.3
"W01000665 ","Wales ","Carmarthenshire 017A ",9,9.1,7.1,88,111,484,4,5.8,7.4
"W01000666 ","Wales ","Carmarthenshire 017B ",12,17.3,14.2,82,106,414,5.2,7.2,9.3
"W01000667 ","Wales ","Carmarthenshire 023C ",15,14.2,12.9,84,106,460,6.5,6.5,7.8
"W01000668 ","Wales ","Carmarthenshire 023D ",26,47.2,29.7,83,97,403,8.5,8.2,10.1
"W01000669 ","Wales ","Carmarthenshire 023E ",11,14.8,10.7,83,108,454,7.8,5.6,6.2
"W01000670 ","Wales ","Carmarthenshire 018A ",21,29.5,21.9,81,94,329,8.7,6.3,10.8
"W01000671 ","Wales ","Carmarthenshire 018B ",16,21.7,15.9,83,102,399,6.1,5.8,7.5
"W01000672 ","Wales ","Carmarthenshire 027E ",12,20.7,15.7,79,99,336,1.4,6.9,9.8
"W01000673 ","Wales ","Carmarthenshire 027F ",10,19.8,12.4,83,97,392,2.3,6.2,9.8
"W01000674 ","Wales ","Carmarthenshire 027A ",8,19,13.6,84,103,482,7.2,5.2,7.3
"W01000675 ","Wales ","Carmarthenshire 012A ",10,10.4,10.2,83,108,467,4.9,5.2,7.2
"W01000676 ","Wales ","Carmarthenshire 004A ",11,12.1,9.7,83,115,611,5.2,5.1,7.1
"W01000677 ","Wales ","Carmarthenshire 004B ",15,19.3,18.9,78,109,554,7.3,6.7,9.8
"W01000678 ","Wales ","Carmarthenshire 002C ",11,21.3,15.6,83,103,445,1.1,5.6,8.5
"W01000679 ","Wales ","Carmarthenshire 002D ",8,12.1,12.6,79,110,426,6.5,6.1,9.5
"W01000680 ","Wales ","Carmarthenshire 011A ",8,11.9,8.8,88,109,634,4.2,6,6.4
"W01000681 ","Wales ","Carmarthenshire 011B ",19,24.7,19.8,82,97,528,4.1,6.7,11.2
"W01000682 ","Wales ","Carmarthenshire 005B ",8,11.8,10.2,82,115,615,5,5.6,6.7
"W01000683 ","Wales ","Carmarthenshire 005C ",11,17.8,16.5,80,109,515,4.7,8.1,9.2
"W01000684 ","Wales ","Carmarthenshire 005D ",12,20.2,12.4,79,108,601,5,6,7.2
"W01000685 ","Wales ","Carmarthenshire 001A ",12,27.5,17.1,81,94,375,5.7,6.8,10
"W01000686 ","Wales ","Carmarthenshire 001B ",10,8.3,9,80,102,389,3.2,6.2,7.3
"W01000687 ","Wales ","Carmarthenshire 004C ",8,15.7,11.4,84,104,478,3,4.9,8.2
"W01000688 ","Wales ","Carmarthenshire 003B ",14,29.6,21.9,80,100,423,5.3,6.7,9.2
"W01000689 ","Wales ","Carmarthenshire 003C ",10,17.4,13.9,81,103,438,5.6,5.5,8.2
"W01000690 ","Wales ","Carmarthenshire 019A ",13,13.6,12.7,84,99,406,7.1,5.7,8.7
"W01000691 ","Wales ","Carmarthenshire 019B ",15,28.5,17.1,83,100,432,5.6,7.4,9
"W01000692 ","Wales ","Carmarthenshire 019C ",12,11.8,11.7,86,105,449,4.3,6.1,7.6
"W01000693 ","Wales ","Carmarthenshire 008C ",13,13.1,13.9,83,103,379,6.1,7.2,8.7
"W01000694 ","Wales ","Carmarthenshire 008D ",10,16.4,9.2,81,108,473,7.3,6.4,8.7
"W01000695 ","Wales ","Carmarthenshire 012B ",20,39.1,22.6,82,97,366,7.2,8.9,11.8
"W01000696 ","Wales ","Carmarthenshire 012C ",15,28.3,17,82,99,385,7.3,6.5,8.3
"W01000697 ","Wales ","Carmarthenshire 015A ",20,20.4,17.6,78,94,327,5.8,6.6,10.9
"W01000698 ","Wales ","Carmarthenshire 015B ",17,28,18.9,78,98,393,7.5,6.3,8.9
"W01000699 ","Wales ","Carmarthenshire 015C ",9,11.1,8.8,89,104,444,4.6,5.3,7.7
"W01000700 ","Wales ","Carmarthenshire 027G ",9,12.4,9,81,106,468,5.4,5.9,8.5
"W01000701 ","Wales ","Carmarthenshire 001C ",8,15.8,12.7,87,102,459,4.2,6.5,6.7
"W01000702 ","Wales ","Carmarthenshire 001D ",10,24.4,15.3,79,93,450,11,7.2,7
"W01000703 ","Wales ","Carmarthenshire 022A ",20,25.5,20.5,80,96,384,4.9,7.1,9.2
"W01000704 ","Wales ","Carmarthenshire 022B ",14,15.8,11.9,82,108,487,4.8,5.7,6.8
"W01000705 ","Wales ","Carmarthenshire 022C ",23,41,28.8,81,100,375,4.6,7.7,8.7
"W01000706 ","Wales ","Carmarthenshire 025C ",19,28,20.3,80,101,387,5.2,7,9.1
"W01000707 ","Wales ","Carmarthenshire 025D ",25,47,32.6,80,95,348,6.1,7.7,11.4
"W01000708 ","Wales ","Carmarthenshire 025E ",26,48.9,34.4,79,91,367,6.2,9.9,12.8
"W01000709 ","Wales ","Carmarthenshire 004D ",12,15.5,12.2,83,102,581,3.7,6.7,9.8
"W01000710 ","Wales ","Carmarthenshire 021D ",11,11.4,9,86,103,429,5.1,5.2,6.8
"W01000711 ","Wales ","Carmarthenshire 021E ",24,37.3,26.8,83,97,342,7.7,7.5,10.1
"W01000712 ","Wales ","Carmarthenshire 015D ",14,18.3,13.9,81,101,522,4.5,5.5,8.5
"W01000713 ","Wales ","Carmarthenshire 015E ",18,13.2,13.7,86,104,598,5.3,5.3,7.9
"W01000714 ","Wales ","Carmarthenshire 013D ",18,21.6,18.5,85,95,368,6.1,8.5,9.9
"W01000715 ","Wales ","Carmarthenshire 013E ",11,16.7,10.5,83,103,404,4.8,6.6,6.3
"W01000716 ","Wales ","Carmarthenshire 016D ",11,11,8.9,84,100,435,6.6,6.4,9.1
"W01000717 ","Wales ","Carmarthenshire 016E ",17,25.4,18,77,94,343,3.8,7.4,10.2
"W01000718 ","Wales ","Carmarthenshire 010D ",17,30,20.4,82,102,377,7.4,6.2,10.5
"W01000719 ","Wales ","Carmarthenshire 010E ",17,18.5,15.8,84,100,372,6.8,6.9,9.4
"W01000720 ","Wales ","Carmarthenshire 027B ",11,15.3,12.5,81,100,388,5.5,6.5,8.1
"W01000721 ","Wales ","Carmarthenshire 027C ",8,17.9,13.1,78,101,396,6.3,5.5,9.1
"W01000722 ","Wales ","Carmarthenshire 012D ",6,9.2,8.1,86,107,444,2.6,6.2,7.6
"W01000723 ","Wales ","Carmarthenshire 012E ",12,19.1,12.3,81,101,396,3.8,6.2,10.5
"W01000724 ","Wales ","Carmarthenshire 011C ",16,25.3,18,80,101,350,8,7.8,11.5
"W01000725 ","Wales ","Carmarthenshire 011D ",16,18.6,14.5,82,99,418,8,6,7.2
"W01000726 ","Wales ","Carmarthenshire 019D ",8,4.5,4.3,86,114,530,5.2,5.8,6.6
"W01000727 ","Wales ","Carmarthenshire 019E ",15,15.2,8.8,85,110,435,5.1,5.7,7.6
"W01000728 ","Wales ","Carmarthenshire 003D ",9,14.6,12.1,86,97,426,6.1,6.3,9.7
"W01000729 ","Wales ","Carmarthenshire 018C ",24,36.1,25.9,83,93,328,5.7,8.8,10.6
"W01000730 ","Wales ","Carmarthenshire 018D ",19,28.4,20.2,85,97,350,4.3,7.1,9.3
"W01000731 ","Wales ","Carmarthenshire 017C ",12,19.8,13.8,85,102,376,6.2,6.9,8.7
"W01000732 ","Wales ","Carmarthenshire 026D ",17,34.9,21.8,71,98,378,7.2,7.3,10.4
"W01000733 ","Wales ","Carmarthenshire 026E ",37,48.6,39.3,74,95,342,9.3,9.3,11.3
"W01000734 ","Wales ","Carmarthenshire 026F ",31,46.7,34.6,78,99,362,4.4,8.3,9.1
"W01000735 ","Wales ","Carmarthenshire 027D ",10,18.3,13.8,82,99,390,5.9,7.3,7.9
"W01000736 ","Wales ","Swansea 028A ",6,5.5,5.3,88,117,490,2.7,5.8,4.8
"W01000737 ","Wales ","Swansea 028B ",6,5.8,7.3,86,108,453,1.6,5.9,5.6
"W01000738 ","Wales ","Swansea 014A ",30,56.5,42.2,79,92,247,9.6,8.9,11.8
"W01000739 ","Wales ","Swansea 014B ",20,42.8,30.8,79,91,280,7.7,7.6,11.5
"W01000740 ","Wales ","Swansea 014C ",13,18.9,14.2,89,101,397,8.2,6.3,6.6
"W01000741 ","Wales ","Swansea 014D ",20,42.2,29.5,85,94,384,5.7,7.5,10.6
"W01000742 ","Wales ","Swansea 016A ",37,55.3,40.3,78,94,293,8.1,8.3,15.2
"W01000743 ","Wales ","Swansea 025A ",38,25,36.7,94,83,293,6.6,13.2,13.6
"W01000744 ","Wales ","Swansea 016B ",22,38,26.8,78,97,315,9,9.7,14.8
"W01000745 ","Wales ","Swansea 025B ",20,50.2,30.6,81,99,372,5.2,10,10.8
"W01000746 ","Wales ","Swansea 025C ",16,29.7,19,79,94,312,10.1,7.6,13
"W01000747 ","Wales ","Swansea 024A ",11,43.9,20.3,85,103,423,7.7,10.5,10.5
"W01000748 ","Wales ","Swansea 025D ",18,21.1,19.3,85,95,389,5.7,10.5,10.4
"W01000749 ","Wales ","Swansea 026A ",23,53.1,32.1,81,96,335,10.2,8.7,10.8
"W01000750 ","Wales ","Swansea 002A ",19,34.6,23.9,80,95,406,5.1,8.9,9.1
"W01000751 ","Wales ","Swansea 002B ",10,6.7,7,82,112,438,6.3,6.2,5.9
"W01000752 ","Wales ","Swansea 002C ",22,49.5,29.9,81,92,308,3.8,8.5,12
"W01000753 ","Wales ","Swansea 002D ",15,29.1,20.3,85,97,352,3.8,8.6,10
"W01000754 ","Wales ","Swansea 002E ",17,22.6,18.4,83,99,359,8,7.8,9.2
"W01000755 ","Wales ","Swansea 017A ",13,19.6,17.1,79,100,352,3.1,8.2,10.8
"W01000756 ","Wales ","Swansea 017B ",27,32.1,29.3,81,92,316,5.3,9.7,8.3
"W01000757 ","Wales ","Swansea 017C ",15,28.3,17.9,86,99,338,5.9,8.2,9.8
"W01000758 ","Wales ","Swansea 017D ",11,15.8,12.5,83,100,377,6,8.6,9.4
"W01000759 ","Wales ","Swansea 012A ",10,13.9,11.1,88,103,392,2.4,5.6,7
"W01000760 ","Wales ","Swansea 013A ",16,25,19.7,83,94,326,7.1,7.2,11
"W01000761 ","Wales ","Swansea 013B ",15,35.8,22.4,80,91,335,4.8,9,10.6
"W01000762 ","Wales ","Swansea 013C ",21,50,34,79,91,291,6.7,10,14.8
"W01000763 ","Wales ","Swansea 015A ",13,26.4,17.8,80,96,351,4.8,6.9,10.4
"W01000764 ","Wales ","Swansea 015B ",14,21.5,17.1,82,100,320,6.6,8.2,10.5
"W01000765 ","Wales ","Swansea 015C ",14,30,19.4,83,101,328,7.5,7.2,10.4
"W01000766 ","Wales ","Swansea 015D ",11,27.6,16.6,83,105,384,3.5,6.9,9.2
"W01000767 ","Wales ","Swansea 015E ",21,28.1,27.9,81,98,348,3.5,9.3,11.5
"W01000768 ","Wales ","Swansea 020A ",10,10.5,9.4,81,109,372,5.4,5.9,6.8
"W01000769 ","Wales ","Swansea 020B ",9,16.1,9.7,84,110,419,4.1,6,7.5
"W01000770 ","Wales ","Swansea 020C ",7,7,6.8,83,107,439,3.3,5.8,7.3
"W01000771 ","Wales ","Swansea 020D ",11,14.9,12.4,87,113,432,5.1,5.5,7.8
"W01000772 ","Wales ","Swansea 018A ",9,11,8.6,86,113,491,4.3,6.5,5.8
"W01000773 ","Wales ","Swansea 005A ",19,27.8,22.4,86,100,376,4.6,6.8,8.8
"W01000774 ","Wales ","Swansea 005B ",17,19.4,16.4,82,102,389,4.3,6.1,8
"W01000775 ","Wales ","Swansea 030A ",6,8.5,7.2,85,110,425,2.8,6.9,6.4
"W01000776 ","Wales ","Swansea 030B ",6,6.4,5.6,88,116,467,4.6,5,5.9
"W01000777 ","Wales ","Swansea 012B ",8,8.8,8.3,86,110,391,4.5,6.1,5.6
"W01000778 ","Wales ","Swansea 012C ",9,16.2,10.8,84,103,363,2.7,5.8,6
"W01000779 ","Wales ","Swansea 012D ",13,20.7,17,79,103,368,8.8,6.5,6.7
"W01000780 ","Wales ","Swansea 023A ",1,5,1.9,86,111,451,4.7,5.5,5.4
