"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > Pre WIMD 2014 indicator data > Indicator data by Lower Layer Super Output Areas"
"Indicator data by Lower Layer Super Output Areas"

Filters:
Year: WIMD 2011

"","","","employment-related benefits (% of working-age population) (1)","income-related benefits - Child Index (% 0-18 year olds) (2)","income-related benefits (% of population) (3)","Key Stage 2 mean points score (4)","Key Stage 3 mean points score (4)","Key Stage 4 mean points score (5)","low birth weight (% of live singleton babies) (6)","Primary School absence rate (% of half day sessions missed) (7)","Secondary School absence rate (% of half day sessions missed) (8)"
"W01000092 ","Wales ","Gwynedd 001E ",4,2.4,4.3,90,119,503,4,5.2,5.6
"W01000093 ","Wales ","Gwynedd 006B ",11,10.3,10.9,89,110,444,5.1,4.3,5.6
"W01000094 ","Wales ","Gwynedd 012B ",8,19.7,12.3,87,108,463,1.9,5.4,9.2
"W01000095 ","Wales ","Gwynedd 012C ",10,16.4,14.1,82,110,434,6.4,5.1,7.6
"W01000096 ","Wales ","Gwynedd 003C ",12,20.2,17.4,84,93,356,8.9,6.4,10.5
"W01000097 ","Wales ","Gwynedd 003D ",15,26,19.6,87,97,331,8,6.7,9.7
"W01000098 ","Wales ","Gwynedd 006C ",25,52.2,38.3,77,92,296,8,9.1,15
"W01000099 ","Wales ","Gwynedd 005C ",10,9.7,11.2,86,105,382,8.8,5.3,7.9
"W01000100 ","Wales ","Gwynedd 010B ",6,16,9.8,88,111,472,3.2,5.5,7.5
"W01000101 ","Wales ","Gwynedd 013D ",9,15.1,11,84,104,410,2.8,4.6,7.4
"W01000102 ","Wales ","Gwynedd 002E ",5,2.7,5.9,85,111,448,3.8,5.3,5
"W01000103 ","Wales ","Gwynedd 005D ",9,22.3,13.6,82,106,431,6,5.9,7.6
"W01000104 ","Wales ","Gwynedd 008C ",13,19.6,17.8,85,100,452,7,5.1,9.4
"W01000105 ","Wales ","Gwynedd 010C ",13,18.6,16.2,81,91,291,5,5.5,10.8
"W01000106 ","Wales ","Gwynedd 010D ",6,4.4,7.9,86,108,424,3.1,5,7.4
"W01000107 ","Wales ","Gwynedd 010E ",10,13.8,13.3,87,97,384,2,6.1,12.6
"W01000108 ","Wales ","Gwynedd 012D ",13,19.6,16.7,82,102,372,5.4,6.3,8
"W01000109 ","Wales ","Gwynedd 012E ",13,16.7,17.6,85,100,374,4.6,6.9,8.6
"W01000110 ","Wales ","Gwynedd 006D ",11,12.9,11.8,86,102,420,5.2,5.5,8.5
"W01000111 ","Wales ","Gwynedd 007C ",14,22.9,21.1,83,103,391,5.1,6.2,10.5
"W01000112 ","Wales ","Gwynedd 008D ",19,33.3,24.6,81,98,478,5.5,5.2,11.5
"W01000113 ","Wales ","Gwynedd 009C ",13,23.6,17.3,84,100,400,8.3,4.4,7
"W01000114 ","Wales ","Gwynedd 009D ",10,19.4,13.3,85,106,495,2.7,5.3,6.6
"W01000115 ","Wales ","Gwynedd 003E ",9,16.7,12.5,83,105,420,5.5,4.7,7.3
"W01000116 ","Wales ","Gwynedd 017D ",10,17,12.6,82,103,533,4.6,4.9,7
"W01000117 ","Wales ","Gwynedd 017E ",12,28.5,21.8,85,102,410,7.8,5.8,9.1
"W01000118 ","Wales ","Gwynedd 007D ",9,14,11.5,86,105,357,2.8,5.6,7.7
"W01000119 ","Wales ","Gwynedd 004D ",10,8.8,9.7,86,102,422,4.7,5.6,7
"W01000120 ","Wales ","Conwy 010A ",29,44,28.6,79,96,290,12.4,7.3,11.9
"W01000121 ","Wales ","Conwy 015A ",6,14,10.3,82,99,348,1.8,6.6,9
"W01000122 ","Wales ","Conwy 014A ",9,13.8,11.4,85,106,437,2.7,5,7.4
"W01000123 ","Wales ","Conwy 013A ",14,10.3,12.3,82,104,419,8.2,5.5,9
"W01000124 ","Wales ","Conwy 012A ",8,14.3,8.8,82,107,454,2.8,5.7,6.7
"W01000125 ","Wales ","Conwy 013B ",8,15.6,11.7,86,100,429,3.2,4.3,7.2
"W01000126 ","Wales ","Conwy 009A ",11,14.1,12.5,84,104,566,5.8,5.6,6.2
"W01000127 ","Wales ","Conwy 009B ",23,45.1,28.4,78,96,387,5.8,6.2,9.3
"W01000128 ","Wales ","Conwy 009C ",15,12.1,15.7,84,106,478,6.6,5.2,7
"W01000129 ","Wales ","Conwy 012B ",14,23.7,17.9,84,103,432,4.1,6.3,7.9
"W01000130 ","Wales ","Conwy 012C ",11,27.7,14.7,85,106,475,5.4,6.1,7.5
"W01000131 ","Wales ","Conwy 012D ",11,24.8,16,82,101,414,4.6,6.3,8.7
"W01000132 ","Wales ","Conwy 001A ",19,18.3,18.4,84,98,322,6.6,5.4,8.3
"W01000133 ","Wales ","Conwy 002A ",9,14.6,9.1,88,107,383,9.2,6.1,7.4
"W01000134 ","Wales ","Conwy 015B ",16,22,20.5,82,97,350,6.8,5.9,8.1
"W01000135 ","Wales ","Conwy 006A ",7,6,6.4,86,109,462,2.1,5.6,5.3
"W01000136 ","Wales ","Conwy 006B ",12,21.3,15.9,81,101,408,12,5.7,8.8
"W01000137 ","Wales ","Conwy 015C ",7,4.8,6.2,82,100,413,4.3,4.4,7.5
"W01000138 ","Wales ","Conwy 008A ",16,22.4,20.5,85,107,522,3.4,5.6,8.5
"W01000139 ","Wales ","Conwy 007A ",9,13.2,12.9,86,109,555,5.8,4.9,5.7
"W01000140 ","Wales ","Conwy 010B ",15,30.4,21.2,80,102,329,6.4,6.8,10.3
"W01000141 ","Wales ","Conwy 010C ",10,9.3,8.8,89,110,439,7,5.5,7.3
